"Notes"	"County"	"County Code"	Deaths	Population	Crude Rate
	"Baldwin County, AL"	"01003"	24	208563	0.11507
	"Blount County, AL"	"01009"	26	57704	0.45058
	"Calhoun County, AL"	"01015"	27	114611	0.23558
	"Cherokee County, AL"	"01019"	11	25725	Unreliable
	"Coffee County, AL"	"01031"	11	51226	Unreliable
	"Colbert County, AL"	"01033"	11	54216	Unreliable
	"Covington County, AL"	"01039"	14	37458	Unreliable
	"Cullman County, AL"	"01043"	10	82471	Unreliable
	"DeKalb County, AL"	"01049"	25	70900	0.35261
	"Elmore County, AL"	"01051"	10	81799	Unreliable
	"Escambia County, AL"	"01053"	14	37728	Unreliable
	"Etowah County, AL"	"01055"	26	102564	0.25350
	"Houston County, AL"	"01069"	11	104056	Unreliable
	"Jackson County, AL"	"01071"	14	52138	Unreliable
	"Jefferson County, AL"	"01073"	139	659521	0.21076
	"Lauderdale County, AL"	"01077"	29	92318	0.31413
	"Lawrence County, AL"	"01079"	14	33244	Unreliable
	"Madison County, AL"	"01089"	38	356967	0.10645
	"Marion County, AL"	"01093"	11	29998	Unreliable
	"Marshall County, AL"	"01095"	34	95157	0.35730
	"Mobile County, AL"	"01097"	81	414836	0.19526
	"Montgomery County, AL"	"01101"	34	226349	0.15021
	"Morgan County, AL"	"01103"	19	119012	Unreliable
	"Pickens County, AL"	"01107"	10	20324	Unreliable
	"Russell County, AL"	"01113"	16	58172	Unreliable
	"St. Clair County, AL"	"01115"	38	88019	0.43172
	"Shelby County, AL"	"01117"	16	210622	Unreliable
	"Talladega County, AL"	"01121"	22	80103	0.27465
	"Tallapoosa County, AL"	"01123"	17	40727	Unreliable
	"Tuscaloosa County, AL"	"01125"	50	206102	0.24260
	"Walker County, AL"	"01127"	17	64967	Unreliable
	"Winston County, AL"	"01133"	12	23805	Unreliable
	"Anchorage Borough, AK"	"02020"	30	298192	0.10061
	"Apache County, AZ"	"04001"	16	73112	Unreliable
	"Cochise County, AZ"	"04003"	33	125770	0.26238
	"Coconino County, AZ"	"04005"	11	140908	Unreliable
	"Gila County, AZ"	"04007"	11	53556	Unreliable
	"Maricopa County, AZ"	"04013"	406	4242997	0.09569
	"Mohave County, AZ"	"04015"	56	205249	0.27284
	"Navajo County, AZ"	"04017"	24	110026	0.21813
	"Pima County, AZ"	"04019"	176	1016206	0.17319
	"Pinal County, AZ"	"04021"	45	418540	0.10752
	"Yavapai County, AZ"	"04025"	43	225562	0.19063
	"Yuma County, AZ"	"04027"	48	205631	0.23343
	"Baxter County, AR"	"05005"	12	41062	Unreliable
	"Benton County, AR"	"05007"	22	258291	0.08518
	"Craighead County, AR"	"05031"	19	105835	Unreliable
	"Crawford County, AR"	"05033"	10	62267	Unreliable
	"Cross County, AR"	"05037"	10	17037	Unreliable
	"Drew County, AR"	"05043"	11	18651	Unreliable
	"Faulkner County, AR"	"05045"	16	122227	Unreliable
	"Garland County, AR"	"05051"	39	97477	0.40009
	"Greene County, AR"	"05055"	15	44598	Unreliable
	"Hot Spring County, AR"	"05059"	12	33374	Unreliable
	"Independence County, AR"	"05063"	12	37168	Unreliable
	"Izard County, AR"	"05065"	10	13433	Unreliable
	"Jefferson County, AR"	"05069"	16	70016	Unreliable
	"Lawrence County, AR"	"05075"	10	16735	Unreliable
	"Mississippi County, AR"	"05093"	14	42835	Unreliable
	"Pope County, AR"	"05115"	12	63779	Unreliable
	"Pulaski County, AR"	"05119"	62	393250	0.15766
	"St. Francis County, AR"	"05123"	14	26196	Unreliable
	"Saline County, AR"	"05125"	15	118703	Unreliable
	"Sebastian County, AR"	"05131"	17	127793	Unreliable
	"Union County, AR"	"05139"	11	39887	Unreliable
	"Washington County, AR"	"05143"	13	228049	Unreliable
	"White County, AR"	"05145"	21	79263	0.26494
	"Alameda County, CA"	"06001"	204	1647704	0.12381
	"Butte County, CA"	"06007"	35	226864	0.15428
	"Contra Costa County, CA"	"06013"	141	1135127	0.12422
	"El Dorado County, CA"	"06017"	27	185625	0.14545
	"Fresno County, CA"	"06019"	144	979915	0.14695
	"Humboldt County, CA"	"06023"	15	136646	Unreliable
	"Imperial County, CA"	"06025"	48	180883	0.26536
	"Kern County, CA"	"06029"	89	884788	0.10059
	"Kings County, CA"	"06031"	21	149785	0.14020
	"Lake County, CA"	"06033"	24	64116	0.37432
	"Los Angeles County, CA"	"06037"	2082	10137915	0.20537
	"Madera County, CA"	"06039"	22	154697	0.14221
	"Marin County, CA"	"06041"	40	260651	0.15346
	"Mendocino County, CA"	"06045"	16	87628	Unreliable
	"Merced County, CA"	"06047"	43	268672	0.16005
	"Monterey County, CA"	"06053"	49	435232	0.11258
	"Napa County, CA"	"06055"	21	142166	0.14771
	"Nevada County, CA"	"06057"	17	99107	Unreliable
	"Orange County, CA"	"06059"	559	3172532	0.17620
	"Placer County, CA"	"06061"	58	380531	0.15242
	"Riverside County, CA"	"06065"	265	2387741	0.11098
	"Sacramento County, CA"	"06067"	235	1514460	0.15517
	"San Bernardino County, CA"	"06071"	250	2140096	0.11682
	"San Diego County, CA"	"06073"	361	3317749	0.10881
	"San Francisco County, CA"	"06075"	121	870887	0.13894
	"San Joaquin County, CA"	"06077"	119	733709	0.16219
	"San Luis Obispo County, CA"	"06079"	31	282887	0.10958
	"San Mateo County, CA"	"06081"	89	764797	0.11637
	"Santa Barbara County, CA"	"06083"	52	446170	0.11655
	"Santa Clara County, CA"	"06085"	170	1919402	0.08857
	"Santa Cruz County, CA"	"06087"	27	274673	0.09830
	"Shasta County, CA"	"06089"	40	179631	0.22268
	"Siskiyou County, CA"	"06093"	11	43603	Unreliable
	"Solano County, CA"	"06095"	77	440207	0.17492
	"Sonoma County, CA"	"06097"	67	503070	0.13318
	"Stanislaus County, CA"	"06099"	92	541560	0.16988
	"Sutter County, CA"	"06101"	21	96651	0.21728
	"Tulare County, CA"	"06107"	88	460437	0.19112
	"Tuolumne County, CA"	"06109"	18	53804	Unreliable
	"Ventura County, CA"	"06111"	80	849738	0.09415
	"Yolo County, CA"	"06113"	28	215802	0.12975
	"Yuba County, CA"	"06115"	17	75275	Unreliable
	"Adams County, CO"	"08001"	38	498187	0.07628
	"Arapahoe County, CO"	"08005"	57	637068	0.08947
	"Boulder County, CO"	"08013"	26	322226	0.08069
	"Denver County, CO"	"08031"	67	693060	0.09667
	"Douglas County, CO"	"08035"	14	328632	Unreliable
	"El Paso County, CO"	"08041"	53	688284	0.07700
	"Jefferson County, CO"	"08059"	64	571837	0.11192
	"Larimer County, CO"	"08069"	39	339993	0.11471
	"Mesa County, CO"	"08077"	13	150083	Unreliable
	"Montrose County, CO"	"08085"	11	41471	Unreliable
	"Pueblo County, CO"	"08101"	20	165123	0.12112
	"Weld County, CO"	"08123"	22	294932	0.07459
	"Fairfield County, CT"	"09001"	138	944177	0.14616
	"Hartford County, CT"	"09003"	160	892389	0.17929
	"Litchfield County, CT"	"09005"	31	182571	0.16980
	"Middlesex County, CT"	"09007"	16	163329	Unreliable
	"New Haven County, CT"	"09009"	143	856875	0.16689
	"New London County, CT"	"09011"	43	269801	0.15938
	"Tolland County, CT"	"09013"	21	151118	0.13896
	"Windham County, CT"	"09015"	20	116192	0.17213
	"Kent County, DE"	"10001"	25	174827	0.14300
	"New Castle County, DE"	"10003"	76	556987	0.13645
	"Sussex County, DE"	"10005"	31	220251	0.14075
	"District of Columbia, DC"	"11001"	78	681170	0.11451
	"Alachua County, FL"	"12001"	22	263496	0.08349
	"Bay County, FL"	"12005"	38	183974	0.20655
	"Brevard County, FL"	"12009"	101	579130	0.17440
	"Broward County, FL"	"12011"	177	1909632	0.09269
	"Charlotte County, FL"	"12015"	65	178465	0.36422
	"Citrus County, FL"	"12017"	18	143621	Unreliable
	"Clay County, FL"	"12019"	20	208311	0.09601
	"Collier County, FL"	"12021"	31	365136	0.08490
	"Duval County, FL"	"12031"	147	926255	0.15870
	"Escambia County, FL"	"12033"	40	315187	0.12691
	"Flagler County, FL"	"12035"	18	108310	Unreliable
	"Hernando County, FL"	"12053"	22	182835	0.12033
	"Highlands County, FL"	"12055"	25	100917	0.24773
	"Hillsborough County, FL"	"12057"	186	1376238	0.13515
	"Indian River County, FL"	"12061"	25	151563	0.16495
	"Jackson County, FL"	"12063"	11	48229	Unreliable
	"Lake County, FL"	"12069"	40	335396	0.11926
	"Lee County, FL"	"12071"	65	722336	0.08999
	"Leon County, FL"	"12073"	24	287822	0.08338
	"Manatee County, FL"	"12081"	39	375888	0.10375
	"Marion County, FL"	"12083"	47	349020	0.13466
	"Martin County, FL"	"12085"	28	158701	0.17643
	"Miami-Dade County, FL"	"12086"	290	2712945	0.10689
	"Monroe County, FL"	"12087"	17	79077	Unreliable
	"Nassau County, FL"	"12089"	19	80622	Unreliable
	"Okaloosa County, FL"	"12091"	26	201170	0.12924
	"Orange County, FL"	"12095"	111	1314367	0.08445
	"Osceola County, FL"	"12097"	30	336015	0.08928
	"Palm Beach County, FL"	"12099"	198	1443810	0.13714
	"Pasco County, FL"	"12101"	78	512368	0.15223
	"Pinellas County, FL"	"12103"	236	960730	0.24565
	"Polk County, FL"	"12105"	139	666149	0.20866
	"Putnam County, FL"	"12107"	13	72277	Unreliable
	"St. Johns County, FL"	"12109"	33	235087	0.14037
	"St. Lucie County, FL"	"12111"	40	306507	0.13050
	"Santa Rosa County, FL"	"12113"	19	170497	Unreliable
	"Sarasota County, FL"	"12115"	89	412569	0.21572
	"Seminole County, FL"	"12117"	41	455479	0.09002
	"Sumter County, FL"	"12119"	19	123996	Unreliable
	"Volusia County, FL"	"12127"	112	529364	0.21157
	"Bartow County, GA"	"13015"	17	103807	Unreliable
	"Bibb County, GA"	"13021"	34	152760	0.22257
	"Carroll County, GA"	"13045"	26	116261	0.22363
	"Chatham County, GA"	"13051"	46	289082	0.15912
	"Cherokee County, GA"	"13057"	27	241689	0.11171
	"Clayton County, GA"	"13063"	19	279462	Unreliable
	"Cobb County, GA"	"13067"	62	748150	0.08287
	"Coffee County, GA"	"13069"	13	43012	Unreliable
	"Colquitt County, GA"	"13071"	12	45708	Unreliable
	"Columbia County, GA"	"13073"	17	147450	Unreliable
	"Coweta County, GA"	"13077"	13	140526	Unreliable
	"DeKalb County, GA"	"13089"	56	740321	0.07564
	"Dougherty County, GA"	"13095"	15	90017	Unreliable
	"Douglas County, GA"	"13097"	11	142224	Unreliable
	"Effingham County, GA"	"13103"	12	58712	Unreliable
	"Fayette County, GA"	"13113"	16	111627	Unreliable
	"Floyd County, GA"	"13115"	19	96560	Unreliable
	"Fulton County, GA"	"13121"	103	1023336	0.10065
	"Gordon County, GA"	"13129"	16	56904	Unreliable
	"Gwinnett County, GA"	"13135"	64	907135	0.07055
	"Habersham County, GA"	"13137"	21	44246	0.47462
	"Hall County, GA"	"13139"	29	196637	0.14748
	"Haralson County, GA"	"13143"	11	29042	Unreliable
	"Henry County, GA"	"13151"	21	221768	0.09469
	"Houston County, GA"	"13153"	25	152122	0.16434
	"Laurens County, GA"	"13175"	13	47516	Unreliable
	"Lowndes County, GA"	"13185"	12	114628	Unreliable
	"Muscogee County, GA"	"13215"	30	197485	0.15191
	"Richmond County, GA"	"13245"	40	201647	0.19837
	"Spalding County, GA"	"13255"	24	64806	0.37034
	"Stephens County, GA"	"13257"	10	25751	Unreliable
	"Thomas County, GA"	"13275"	10	45248	Unreliable
	"Tift County, GA"	"13277"	11	40828	Unreliable
	"Towns County, GA"	"13281"	10	11391	Unreliable
	"Troup County, GA"	"13285"	15	70005	Unreliable
	"Walker County, GA"	"13295"	15	67896	Unreliable
	"Walton County, GA"	"13297"	15	90184	Unreliable
	"Washington County, GA"	"13303"	10	20457	Unreliable
	"Whitfield County, GA"	"13313"	27	104589	0.25815
	"Hawaii County, HI"	"15001"	37	198449	0.18645
	"Honolulu County, HI"	"15003"	433	992605	0.43623
	"Kauai County, HI"	"15007"	16	72029	Unreliable
	"Maui County, HI"	"15009"	21	165386	0.12698
	"Ada County, ID"	"16001"	41	444028	0.09234
	"Bannock County, ID"	"16005"	18	84377	Unreliable
	"Bonneville County, ID"	"16019"	11	112232	Unreliable
	"Canyon County, ID"	"16027"	23	211698	0.10865
	"Kootenai County, ID"	"16055"	13	154311	Unreliable
	"Twin Falls County, ID"	"16083"	13	83514	Unreliable
	"Adams County, IL"	"17001"	16	66578	Unreliable
	"Bureau County, IL"	"17011"	13	33359	Unreliable
	"Champaign County, IL"	"17019"	22	208419	0.10556
	"Clinton County, IL"	"17027"	12	37729	Unreliable
	"Coles County, IL"	"17029"	11	52343	Unreliable
	"Cook County, IL"	"17031"	900	5203499	0.17296
	"DuPage County, IL"	"17043"	115	929368	0.12374
	"Effingham County, IL"	"17049"	11	34386	Unreliable
	"Franklin County, IL"	"17055"	11	39156	Unreliable
	"Grundy County, IL"	"17063"	10	50437	Unreliable
	"Henry County, IL"	"17073"	13	49280	Unreliable
	"Jackson County, IL"	"17077"	14	58870	Unreliable
	"Jersey County, IL"	"17083"	11	22025	Unreliable
	"Kane County, IL"	"17089"	50	531715	0.09404
	"Kankakee County, IL"	"17091"	28	110008	0.25453
	"Knox County, IL"	"17095"	16	50938	Unreliable
	"Lake County, IL"	"17097"	74	703047	0.10526
	"LaSalle County, IL"	"17099"	25	110642	0.22595
	"Logan County, IL"	"17107"	15	29527	Unreliable
	"McDonough County, IL"	"17109"	10	30996	Unreliable
	"McHenry County, IL"	"17111"	21	307004	0.06840
	"McLean County, IL"	"17113"	13	172418	Unreliable
	"Macon County, IL"	"17115"	26	106550	0.24402
	"Madison County, IL"	"17119"	35	265759	0.13170
	"Marion County, IL"	"17121"	10	38140	Unreliable
	"Marshall County, IL"	"17123"	10	11939	Unreliable
	"Morgan County, IL"	"17137"	10	34277	Unreliable
	"Peoria County, IL"	"17143"	54	185006	0.29188
	"Randolph County, IL"	"17157"	10	32621	Unreliable
	"Rock Island County, IL"	"17161"	34	144784	0.23483
	"St. Clair County, IL"	"17163"	55	262759	0.20932
	"Saline County, IL"	"17165"	15	24307	Unreliable
	"Sangamon County, IL"	"17167"	32	197499	0.16203
	"Stephenson County, IL"	"17177"	11	45624	Unreliable
	"Tazewell County, IL"	"17179"	42	134385	0.31253
	"Union County, IL"	"17181"	10	17212	Unreliable
	"Whiteside County, IL"	"17195"	13	56536	Unreliable
	"Will County, IL"	"17197"	81	689529	0.11747
	"Williamson County, IL"	"17199"	18	67560	Unreliable
	"Winnebago County, IL"	"17201"	28	285873	0.09795
	"Allen County, IN"	"18003"	37	370404	0.09989
	"Boone County, IN"	"18011"	10	64653	Unreliable
	"Clark County, IN"	"18019"	28	116031	0.24131
	"De Kalb County, IN"	"18033"	10	42746	Unreliable
	"Delaware County, IN"	"18035"	23	115603	0.19896
	"Elkhart County, IN"	"18039"	28	203781	0.13740
	"Floyd County, IN"	"18043"	13	76990	Unreliable
	"Grant County, IN"	"18053"	13	66937	Unreliable
