,FID,ST,STATE,ST_ABBR,COUNTY,FIPS,LOCATION,AREA_SQMI,E_TOTPOP,E_HU,E_HH,E_POV,E_UNEMP,E_PCI,E_NOHSDP,E_AGE65,E_AGE17,E_DISABL,E_SNGPNT,E_MINRTY,E_LIMENG,E_MUNIT,E_MOBILE,E_CROWD,E_NOVEH,E_GROUPQ,EP_POV,MP_POV,EP_UNEMP,MP_UNEMP,EP_PCI,MP_PCI,EP_NOHSDP,MP_NOHSDP,EP_AGE65,MP_AGE65,EP_AGE17,MP_AGE17,EP_DISABL,MP_DISABL,EP_SNGPNT,MP_SNGPNT,EP_MINRTY,MP_MINRTY,EP_LIMENG,MP_LIMENG,EP_MUNIT,MP_MUNIT,EP_MOBILE,MP_MOBILE,EP_CROWD,MP_CROWD,EP_NOVEH,MP_NOVEH,EP_GROUPQ,MP_GROUPQ,EPL_POV,EPL_UNEMP,EPL_PCI,EPL_NOHSDP,SPL_THEME1,RPL_THEME1,EPL_AGE65,EPL_AGE17,EPL_DISABL,EPL_SNGPNT,SPL_THEME2,RPL_THEME2,EPL_MINRTY,EPL_LIMENG,SPL_THEME3,RPL_THEME3,EPL_MUNIT,EPL_MOBILE,EPL_CROWD,EPL_NOVEH,EPL_GROUPQ,SPL_THEME4,RPL_THEME4,SPL_THEMES,RPL_THEMES,E_UNINSUR,EP_UNINSUR,MP_UNINSUR,E_DAYPOP,County,County Code,Total_Deaths,Population,Total_Death_Rate,Accident_Deaths,Accident_Death_Rate,Alzheimer_Deaths,Alzheimer_Death_Rate,Cancer_Deaths,Cancer_Death_Rate,Diabetes_Deaths,Diabetes_Death_Rate,Flu_Deaths,Flu_Death_Rate,Heart_Deaths,Heart_Death_Rate,Kidney_Deaths,Kidney_Death_Rate,LowerResp_Deaths,LowerResp_Death_Rate,Stroke_Deaths,Stroke_Death_Rate,Suicide_Deaths,Suicide_Death_Rate,Location,Life Expectancy,County name,"Total per enrollee (age, sex, race adjusted)","Total per enrollee (age, sex, race, price adjusted)"
0,0.0,1.0,ALABAMA,AL,Autauga,1001,"Autauga County, Alabama",594.44611991,55049.0,22714.0,20800.0,6697.0,1437.0,26168.0,4528.0,7695.0,13853.0,10009.0,1516.0,13386.0,432.0,1034.0,4095.0,254.0,1024.0,490.0,12.3,1.9,5.6,1.1,26168.0,1221.0,12.4,1.2,14.0,0.2,25.2,0.1,18.4,1.6,7.3,1.3,24.3,0.3,0.8,0.3,4.6,1.5,18.0,1.7,1.2,0.5,4.9,1.1,0.9,0.3,0.2824,0.3298,0.3607,0.4744,1.4473,0.3298,0.1964,0.8313,0.738,0.32,2.0856,0.5568,0.6339,0.5355,1.1694,0.5976,0.6791,0.7268,0.2477,0.3298,0.1251,2.1086,0.2881,6.8109,0.3773,4852.0,8.9,1.2,40854.0,"Autauga County, AL",1001.0,520.0,55416.0,9.383571531687599,30.0,0.5413598960589,20.0,0.3609065973726,106.0,1.9128049660747797,19.0,0.34286126750396995,,,118.0,2.12934892449834,,,37.0,0.66767720513931,36.0,0.64963187527068,14.0,0.25263461816081995,"Autauga County, Alabama",75.67,AL-Autauga County,"8,848 ","10,413 "
1,1.0,1.0,ALABAMA,AL,Blount,1009,"Blount County, Alabama",644.806508021,57704.0,23850.0,20619.0,9441.0,1367.0,21033.0,7882.0,9921.0,13601.0,8538.0,1614.0,7122.0,1018.0,190.0,5467.0,391.0,816.0,552.0,16.5,1.7,6.0,1.2,21033.0,689.0,20.0,1.6,17.2,0.2,23.6,0.1,14.9,1.2,7.8,1.5,12.3,0.3,1.9,0.5,0.8,0.4,22.9,1.8,1.9,0.6,4.0,1.0,1.0,0.2,0.5536,0.3792,0.7504,0.8058,2.489,0.6609,0.4909,0.6466,0.4527,0.4018,1.992,0.4664,0.4238,0.7482,1.1719,0.5992,0.1344,0.8465,0.5056,0.1907,0.1515,1.8287,0.1827,7.4817,0.4986,6388.0,11.2,1.3,42597.0,"Blount County, AL",1009.0,697.0,57704.0,12.078885345903231,54.0,0.935810342437266,27.0,0.467905171218633,155.0,2.686122279218078,,,26.0,0.45057535006238736,154.0,2.6687924580618327,,,63.0,1.0917787328434772,36.0,0.623873561624844,11.0,0.19062803271870235,"Blount County, Alabama",76.16,AL-Blount County,"9,860 ","11,179 "
2,2.0,1.0,ALABAMA,AL,Chambers,1017,"Chambers County, Alabama",596.531111636,34018.0,16905.0,13851.0,6805.0,1136.0,21532.0,4708.0,6255.0,7283.0,5960.0,1354.0,14715.0,114.0,597.0,2695.0,555.0,1110.0,482.0,20.3,2.5,7.5,1.5,21532.0,1399.0,19.7,1.8,18.4,0.1,21.4,0.2,17.7,1.5,9.8,1.3,43.3,0.1,0.4,0.3,3.5,1.0,15.9,1.9,4.0,1.1,8.0,1.3,1.4,0.3,0.7644,0.5947,0.7122,0.7934,2.8647,0.7689,0.6151,0.3467,0.6890000000000001,0.7138,2.3645,0.7615,0.8402,0.2996,1.1398,0.5798,0.5845,0.6734,0.8812,0.774,0.3251,3.2381,0.8596,9.6071,0.8408,3979.0,11.8,1.6,27940.0,"Chambers County, AL",1017.0,460.0,33843.0,13.592175634547765,31.0,0.9159944449369146,29.0,0.8568980291345331,94.0,2.7775315427119347,21.0,0.6205123659250067,,,100.0,2.9548207901190793,,,32.0,0.9455426528381053,27.0,0.7978016133321515,15.0,0.4432231185178619,"Chambers County, Alabama",74.06,AL-Chambers County,"8,033 ","9,505 "
3,3.0,1.0,ALABAMA,AL,Coffee,1031,"Coffee County, Alabama",678.985651662,50991.0,22862.0,19375.0,8219.0,1410.0,25325.0,5145.0,8048.0,12122.0,8942.0,2018.0,14598.0,716.0,218.0,2863.0,270.0,1126.0,616.0,16.4,1.8,6.2,1.0,25325.0,939.0,14.9,1.2,15.8,0.2,23.8,0.0,18.2,1.2,10.4,1.4,28.6,0.0,1.5,0.5,1.0,0.4,12.5,0.9,1.4,0.5,5.8,1.0,1.2,0.3,0.5466,0.4094,0.4187,0.6055,1.9803,0.5072,0.3464,0.6756,0.7233,0.7845,2.5298,0.8507,0.6877,0.6931,1.3808,0.7313,0.1668,0.5613,0.3091,0.4877,0.23399999999999999,1.7590000000000001,0.1624,7.6498,0.5266,5253.0,10.7,0.9,47236.0,"Coffee County, AL",1031.0,508.0,51226.0,9.91683910514192,27.0,0.5270760941709288,32.0,0.6246827782766564,94.0,1.8350056611876782,,,11.0,0.21473470503260064,131.0,2.557295123570062,,,34.0,0.6637254519189475,26.0,0.5075547573497833,10.0,0.19521336821145513,"Coffee County, Alabama",76.48,AL-Coffee County,"8,560 ","10,256 "
4,4.0,1.0,ALABAMA,AL,Colbert,1033,"Colbert County, Alabama",592.6196640119999,54377.0,26156.0,22105.0,8910.0,1795.0,23318.0,6344.0,10034.0,11735.0,10561.0,1879.0,11499.0,104.0,641.0,2478.0,150.0,1361.0,432.0,16.5,1.6,7.5,1.3,23318.0,854.0,16.6,1.3,18.5,0.1,21.6,0.0,19.6,1.3,8.5,1.3,21.1,0.1,0.2,0.2,2.5,0.6,9.5,1.3,0.7,0.3,6.2,1.0,0.8,0.2,0.5536,0.5947,0.5766,0.6829,2.4078,0.6345,0.6243,0.3664,0.8032,0.5244,2.3184,0.7326,0.588,0.1821,0.7701,0.3642,0.4511,0.4368,0.078,0.5495,0.0981,1.6135,0.1175,7.1098,0.4333,4932.0,9.1,0.8,56227.0,"Colbert County, AL",1033.0,707.0,54216.0,13.040430869116129,18.0,0.33200531208499334,39.0,0.719344842850819,139.0,2.56381879887856,10.0,0.1844473956027741,11.0,0.2028921351630515,161.0,2.9696030692046627,15.0,0.27667109340416113,56.0,1.032905415375535,38.0,0.7009001032905415,,,"Colbert County, Alabama",75.07,AL-Colbert County,"9,063 ","11,110 "
5,5.0,1.0,ALABAMA,AL,Covington,1039,"Covington County, Alabama",1030.45583624,37729.0,18783.0,15179.0,7031.0,1723.0,21738.0,5051.0,7613.0,8318.0,7858.0,1240.0,6220.0,211.0,174.0,3505.0,237.0,797.0,612.0,19.0,1.7,10.7,1.9,21738.0,826.0,19.1,1.3,20.2,0.2,22.0,0.2,21.1,1.2,8.2,1.1,16.5,0.0,0.6,0.3,0.9,0.4,18.7,1.4,1.6,0.6,5.3,0.8,1.6,0.4,0.7042,0.8854,0.6969,0.772,3.0586,0.8214,0.7676,0.4263,0.8768,0.4629,2.5336,0.8516,0.5205,0.4323,0.9529,0.4686,0.1576,0.7488,0.3798,0.3986,0.4024,2.0872,0.2802,8.6323,0.695,4617.0,12.4,1.2,37246.0,"Covington County, AL",1039.0,503.0,37458.0,13.428373111217898,13.0,0.3470553686795878,23.0,0.6140210368946554,89.0,2.3759944471141012,11.0,0.2936622350365743,14.0,0.3737519355010946,131.0,3.4972502536173846,14.0,0.3737519355010946,48.0,1.281435207432324,30.0,0.8008970046452026,,,"Covington County, Alabama",75.15,AL-Covington County,"9,825 ","11,830 "
6,6.0,1.0,ALABAMA,AL,Cullman,1043,"Cullman County, Alabama",734.897489233,81316.0,37150.0,31081.0,13718.0,2081.0,21041.0,10050.0,14435.0,18279.0,12621.0,2168.0,6128.0,746.0,901.0,7996.0,547.0,1264.0,1164.0,17.1,1.7,6.1,0.9,21041.0,734.0,17.8,1.3,17.8,0.1,22.5,0.1,15.7,0.9,7.0,1.1,7.5,0.1,1.0,0.3,2.4,0.5,21.5,1.5,1.8,0.4,4.1,0.7,1.4,0.3,0.5925,0.3964,0.7494,0.7329,2.4712,0.6558,0.5524,0.4938,0.5288,0.2744,1.8494,0.3613,0.2786,0.5813,0.8599,0.4174,0.4495,0.8138,0.455,0.2038,0.3308,2.2528,0.3531,7.4333,0.4909,11704.0,14.5,1.2,79900.0,"Cullman County, AL",1043.0,1012.0,82471.0,12.270980102096495,55.0,0.6669010925052442,62.0,0.751779413369548,172.0,2.0855815983800365,33.0,0.40014065550314654,10.0,0.12125474409186258,245.0,2.9707412302506335,29.0,0.35163875786640153,83.0,1.0064143759624595,54.0,0.654775618096058,19.0,0.23038401377453893,"Cullman County, Alabama",75.31,AL-Cullman County,"9,488 ","10,548 "
7,7.0,1.0,ALABAMA,AL,Dale,1045,"Dale County, Alabama",561.12596403,49607.0,22839.0,18794.0,9897.0,2145.0,22834.0,4726.0,7654.0,11728.0,9865.0,1649.0,14787.0,395.0,304.0,4020.0,269.0,1198.0,1209.0,20.5,1.9,10.4,1.4,22834.0,783.0,14.2,1.2,15.4,0.2,23.6,0.0,21.0,1.1,8.8,1.3,29.8,0.2,0.9,0.4,1.3,0.5,17.6,1.3,1.4,0.5,6.4,1.1,2.4,0.4,0.7701,0.8698,0.6122,0.5734,2.8255,0.7571,0.3034,0.6581,0.8739,0.5677,2.4031,0.7832,0.6982,0.5415,1.2397,0.639,0.2448,0.7170000000000001,0.3266,0.5801,0.5915,2.46,0.4572,8.9284,0.7463,6130.0,13.1,1.2,49165.0,"Dale County, AL",1045.0,550.0,49226.0,11.172957380246212,34.0,0.6906919107788567,25.0,0.5078616991021006,107.0,2.17364807215699,16.0,0.3250314874253443,,,136.0,2.762767643115427,,,39.0,0.7922642505992767,29.0,0.5891195709584366,,,"Dale County, Alabama",76.26,AL-Dale County,"8,960 ","10,873 "
8,8.0,1.0,ALABAMA,AL,Elmore,1051,"Elmore County, Alabama",618.48773353,80957.0,33322.0,28890.0,10893.0,2694.0,24771.0,7238.0,11243.0,18553.0,13201.0,2688.0,21301.0,635.0,894.0,5587.0,332.0,1291.0,4651.0,14.3,1.6,7.5,1.4,24771.0,1013.0,13.2,1.1,13.9,0.1,22.9,0.0,17.4,1.3,9.3,1.4,26.3,0.1,0.8,0.3,2.7,0.7,16.8,1.4,1.1,0.4,4.5,1.1,5.7,0.7,0.4094,0.5947,0.4604,0.525,1.9895,0.51,0.1885,0.5495,0.6743,0.652,2.0643,0.5384,0.6558,0.5361,1.192,0.6097,0.48200000000000004,0.6963,0.2139,0.263,0.8392,2.4944,0.4801,7.7402,0.5415,6665.0,8.8,1.0,66964.0,"Elmore County, AL",1051.0,799.0,81799.0,9.767845572684262,49.0,0.5990293279868948,55.0,0.6723798579444736,168.0,2.0538148388122104,17.0,0.20782650154647367,10.0,0.12225088326263156,171.0,2.090490103791,19.0,0.23227667819899997,46.0,0.5623540630081053,44.0,0.537903886355579,21.0,0.2567268548515263,"Elmore County, Alabama",75.93,AL-Elmore County,"9,185 ","10,769 "
9,9.0,1.0,ALABAMA,AL,Etowah,1055,"Etowah County, Alabama",535.283926667,103363.0,47504.0,39522.0,18713.0,3837.0,21287.0,12582.0,17947.0,22757.0,20277.0,3631.0,22294.0,1475.0,1515.0,5487.0,639.0,2513.0,1403.0,18.4,1.3,8.5,1.0,21287.0,489.0,17.5,0.9,17.4,0.1,22.0,0.1,19.8,0.9,9.2,0.9,21.6,0.1,1.5,0.3,3.2,0.4,11.6,0.9,1.6,0.5,6.4,0.7,1.4,0.2,0.6705,0.7163,0.7319,0.7221,2.8408,0.7609,0.5119,0.419,0.8141,0.6323,2.3773,0.7679,0.5938,0.6966,1.2904,0.6721,0.5403,0.5259,0.405,0.5801,0.2993,2.3505,0.4043,8.859,0.7335,12365.0,12.1,0.8,100528.0,"Etowah County, AL",1055.0,1389.0,102564.0,13.542763542763543,81.0,0.7897507897507897,80.0,0.78000078000078,238.0,2.3205023205023205,32.0,0.312000312000312,26.0,0.25350025350025346,382.0,3.7245037245037245,29.0,0.28275028275028274,121.0,1.1797511797511797,58.0,0.5655005655005655,17.0,0.16575016575016574,"Etowah County, Alabama",73.85,AL-Etowah County,"10,845 ","12,899 "
